0.00000	0.00000	0.00000	0.02140	0.02580
0.00000	1.00000	0.09360	0.02150	0.02590
0.00000	2.00000	0.18330	0.02190	0.02630
0.00000	3.00000	0.26880	0.02250	0.02690
0.00000	4.00000	0.34950	0.02350	0.02780
0.00000	5.00000	0.41170	0.02470	0.02900
0.00000	6.00000	0.45730	0.02630	0.03040
0.00000	7.00000	0.47580	0.02820	0.03220
0.00000	8.00000	0.44280	0.03030	0.03430
0.00000	9.00000	0.35440	0.03270	0.03670
0.00000	10.00000	0.21080	0.06200	0.03960
0.00000	12.00000	0.01390	0.12300	0.08500
0.00000	14.00000	0.04890	0.15800	0.15800
0.00000	16.00000	0.12870	0.19600	0.19600
0.00000	18.00000	0.22280	0.23800	0.23800
0.00000	20.00000	0.32360	0.28200	0.28200
0.00000	22.00000	0.42650	0.32900	0.32900
0.00000	25.00000	0.58400	0.50500	0.40500
0.00000	30.00000	0.85500	0.57000	0.57000
0.00000	35.00000	0.98000	0.74500	0.74500
0.00000	40.00000	1.03500	0.92000	0.92000
0.00000	45.00000	1.05000	1.07500	1.07500
0.00000	50.00000	1.02000	1.21500	1.21500
0.00000	55.00000	0.95500	1.34500	1.34500
0.00000	60.00000	0.87500	1.47000	1.47000
0.00000	65.00000	0.76000	1.57500	1.57500
0.00000	70.00000	0.63000	1.66500	1.66500
0.00000	75.00000	0.50000	1.73500	1.73500
0.00000	80.00000	0.36500	1.78000	1.78000
0.00000	85.00000	0.23000	1.80000	1.80000
0.00000	90.00000	0.09000	1.80000	1.80000
0.00000	95.00000	-0.05000	1.78000	1.78000
0.00000	100.00000	-0.18500	1.75000	1.75000
0.00000	105.00000	-0.32000	1.70000	1.70000
0.00000	110.00000	-0.45000	1.63500	1.63500
0.00000	115.00000	-0.57500	1.55500	1.55500
0.00000	120.00000	-0.67000	1.46500	1.46500
0.00000	125.00000	-0.76000	1.35000	1.35000
0.00000	130.00000	-0.85000	1.22500	1.22500
0.00000	135.00000	-0.93000	1.08500	1.08500
0.00000	140.00000	-0.98000	0.92500	0.92500
0.00000	145.00000	-0.90000	0.75500	0.75500
0.00000	150.00000	-0.77000	0.57500	0.57500
0.00000	155.00000	-0.67000	0.42000	0.42000
0.00000	160.00000	-0.63500	0.32000	0.32000
0.00000	165.00000	-0.68000	0.23000	0.23000
0.00000	170.00000	-0.85000	0.14000	0.14000
0.00000	175.00000	-0.66000	0.05500	0.05500
0.00000	180.00000	0.00000	0.02500	0.02500
