0 0 0 .0175
0 1.0000 .1100 .0177
0 2.0000 .2200 .0181
0 3.0000 .3376 .0189
0 4 .4464 .0199
0 5 .5276 .0218
0 6 .6115 .0232
0 7.0000 -.0212 .0580
0 8.0000 -.0615 .0720
0 9.0000 -.0160 .0860
0 10.0000 .0344 .1 010
0 11.0000 .0869 .1170
0 12.0000 .1406 .1340
0 13.0000 .1945 .1520
0 14.0 .2484 .1710
0 15.0000 .3024 .1900
0 16.0000 .3563 .2100
0 17.000 .4107 .2.310
0 18.0 .4644 .2520
0 19.0000 .5178 .2740
0 20.0000 .5708 .2970
0 21.0000 .6232 .3200
0 22.0000 .6755 .3440
0 23.0000 .7283 .3690
0 24.0000 .7809 .3940
0 25.0000 .8340 .4200
0 26.00 .8873 .4460
0 27.0000 0.9107 .4730
0 30.0 .9150 .5700
0 35.0  1.0200 .7450
0 40.0000 1.0750 .9200
0 45.0000 1.0850 1.0750
0 50.0000 1.0400 1.2150
0 55.0000 .9650 1.3150
0 60.0000 .8750 1.4700
0 65.0000 .7650 1.5750
0 70.0000 .6500 1.6650
0 75.0000 .5150 1.7350
0 80 .3700 1.7800
0 85.0000 .2200 1.8000
0 90.0000 .0700 1.8000
0 95.0000 -.0700 1.7800
0 100.0 -.2200 1.75
0 105.0000 -.3700 1.7000
0 110.0000 -.5100 1.6350
0 115.0000 -.6210 1.5550
0 120.0000 -.7350 1.4650
0 125.0000 -.8400 1.3500
0 130.000 -.9100 1.2250
0 135.000 -.9450 1.0850
0 140.0000 -.9450 .9250
0 145.0000 -.9100 .7550
0 150.0000 -.8500 0.5750
0 155.0000 -.7400 .4200
0 160.0000 -.6600 .3200
0 165.0000 -.6750 .2300
0 170.0000 -.850 .1400
0 175.0 -.6900 .0550
1 180.0000 0 .0250 
