1.000000  0.002625
  0.999416  0.002796
  0.997666  0.003306
  0.994753  0.004154
  0.990685  0.005332
  0.985471  0.006834
  0.979123  0.008650
  0.971656  0.010768
  0.963087  0.013175
  0.953437  0.015856
  0.942728  0.018795
  0.930985  0.021976
  0.918235  0.025380
  0.904508  0.028988
  0.889837  0.032782
  0.874255  0.036740
  0.857799  0.040844
  0.840508  0.045072
  0.822421  0.049405
  0.803581  0.053820
  0.784032  0.058298
  0.763820  0.062816
  0.742992  0.067353
  0.721596  0.071887
  0.699682  0.076396
  0.677302  0.080856
  0.654508  0.085245
  0.631354  0.089537
  0.607892  0.093709
  0.584179  0.097734
  0.560268  0.101587
  0.536217  0.105242
  0.512082  0.108671
  0.487918  0.111847
  0.463783  0.114744
  0.439732  0.117333
  0.415821  0.119590
  0.392108  0.121488
  0.368646  0.123004
  0.345492  0.124114
  0.322698  0.124797
  0.300318  0.125036
  0.278404  0.124813
  0.257008  0.124116
  0.236180  0.122934
  0.215968  0.121260
  0.196419  0.119092
  0.177579  0.116428
  0.159492  0.113274
  0.142201  0.109636
  0.125745  0.105524
  0.110163  0.100951
  0.095492  0.095935
  0.081765  0.090494
  0.069015  0.084648
  0.057272  0.078419
  0.046563  0.071832
  0.036913  0.064908
  0.028344  0.057672
  0.020877  0.050147
  0.014529  0.042354
  0.009315  0.034314
  0.005247  0.026044
  0.002334  0.017560
  0.000584  0.008876
  0.000000  0.000000
  0.000584 -0.008876
  0.002334 -0.017560
  0.005247 -0.026044
  0.009315 -0.034314
  0.014529 -0.042354
  0.020877 -0.050147
  0.028344 -0.057672
  0.036913 -0.064908
  0.046563 -0.071832
  0.057272 -0.078419
  0.069015 -0.084648
  0.081765 -0.090494
  0.095492 -0.095935
  0.110163 -0.100951
  0.125745 -0.105524
  0.142201 -0.109636
  0.159492 -0.113274
  0.177579 -0.116428
  0.196419 -0.119092
  0.215968 -0.121260
  0.236180 -0.122934
  0.257008 -0.124116
  0.278404 -0.124813
  0.300318 -0.125036
  0.322698 -0.124797
  0.345492 -0.124114
  0.368646 -0.123004
  0.392108 -0.121488
  0.415821 -0.119590
  0.439732 -0.117333
  0.463783 -0.114744
  0.487918 -0.111847
  0.512082 -0.108671
  0.536217 -0.105242
  0.560268 -0.101587
  0.584179 -0.097734
  0.607892 -0.093709
  0.631354 -0.089537
  0.654508 -0.085245
  0.677302 -0.080856
  0.699682 -0.076396
  0.721596 -0.071887
  0.742992 -0.067353
  0.763820 -0.062816
  0.784032 -0.058298
  0.803581 -0.053820
  0.822421 -0.049405
  0.840508 -0.045072
  0.857799 -0.040844
  0.874255 -0.036740
  0.889837 -0.032782
  0.904508 -0.028988
  0.918235 -0.025380
  0.930985 -0.021976
  0.942728 -0.018795
  0.953437 -0.015856
  0.963087 -0.013175
  0.971656 -0.010768
  0.979123 -0.008650
  0.985471 -0.006834
  0.990685 -0.005332
  0.994753 -0.004154
  0.997666 -0.003306
  0.999416 -0.002796
  1.000000 -0.002625
