1.000000  0.016383
0.987405  0.018629
0.974839  0.020859
0.962298  0.023067
0.949778  0.025248
0.937274  0.027397
0.924782  0.029513
0.912298  0.031592
0.899816  0.033634
0.887332  0.035638
0.874841  0.037607
0.862338  0.039543
0.849822  0.041448
0.837289  0.043327
0.824739  0.045183
0.812173  0.047022
0.799592  0.048846
0.786998  0.050661
0.774393  0.052469
0.761779  0.054275
0.749158  0.056080
0.736531  0.057888
0.723899  0.059699
0.711265  0.061515
0.698628  0.063335
0.685989  0.065159
0.673349  0.066984
0.660707  0.068807
0.648063  0.070625
0.635417  0.072433
0.622770  0.074224
0.610121  0.075993
0.597472  0.077731
0.584823  0.079432
0.572177  0.081087
0.559533  0.082688
0.546892  0.084227
0.534254  0.085696
0.521619  0.087089
0.508986  0.088402
0.496356  0.089630
0.483729  0.090770
0.471106  0.091819
0.458487  0.092777
0.445873  0.093643
0.433266  0.094418
0.420668  0.095101
0.408080  0.095692
0.395503  0.096190
0.382939  0.096594
0.370386  0.096901
0.357844  0.097108
0.345316  0.097208
0.332800  0.097196
0.320300  0.097062
0.307818  0.096795
0.295358  0.096381
0.282924  0.095806
0.270521  0.095055
0.258155  0.094109
0.245829  0.092952
0.233542  0.091565
0.221294  0.089932
0.209088  0.088039
0.196931  0.085875
0.184835  0.083434
0.172817  0.080710
0.160885  0.077701
0.149045  0.074410
0.137305  0.070842
0.125685  0.067013
0.114222  0.062953
0.102954  0.058697
0.091895  0.054274
0.081034  0.049710
0.070433  0.045058
0.060303  0.040446
0.050862  0.036011
0.042067  0.031754
0.033751  0.027605
0.026360  0.023784
0.020538  0.020648
0.016072  0.018068
0.012459  0.015753
0.009380  0.013504
0.006759  0.011283
0.004679  0.009241
0.003088  0.007459
0.001897  0.005894
0.001041  0.004458
0.000461  0.003088
0.000128  0.001750
0.000033  0.000576
0.000034  0.000369
0.000187  -0.001032
0.000580  -0.002440
0.001228  -0.003876
0.002170  -0.005323
0.003462  -0.006721
0.005188  -0.008043
0.007456  -0.009295
0.010392  -0.010526
0.014079  -0.011880
0.018654  -0.013424
0.024211  -0.015056
0.030789  -0.016607
0.038689  -0.018014
0.048218  -0.019284
0.059104  -0.020407
0.070515  -0.021301
0.082049  -0.021980
0.093827  -0.022503
0.105914  -0.022923
0.118220  -0.023274
0.130619  -0.023572
0.143051  -0.023830
0.155517  -0.024057
0.168035  -0.024259
0.180611  -0.024439
0.193233  -0.024598
0.205887  -0.024734
0.218561  -0.024845
0.231249  -0.024930
0.243949  -0.024986
0.256659  -0.025010
0.269380  -0.025000
0.282110  -0.024955
0.294849  -0.024874
0.307597  -0.024757
0.320353  -0.024603
0.333116  -0.024414
0.345887  -0.024191
0.358664  -0.023934
0.371447  -0.023646
0.384235  -0.023327
0.397026  -0.022980
0.409822  -0.022606
0.422620  -0.022207
0.435421  -0.021784
0.448225  -0.021339
0.461031  -0.020873
0.473840  -0.020388
0.486651  -0.019885
0.499464  -0.019366
0.512278  -0.018833
0.525095  -0.018287
0.537913  -0.017729
0.550734  -0.017160
0.563557  -0.016583
0.576383  -0.015998
0.589213  -0.015406
0.602047  -0.014811
0.614885  -0.014212
0.627726  -0.013613
0.640570  -0.013013
0.653416  -0.012414
0.666264  -0.011816
0.679111  -0.011221
0.691956  -0.010629
0.704799  -0.010041
0.717640  -0.009460
0.730479  -0.008885
0.743317  -0.008318
0.756155  -0.007758
0.768993  -0.007206
0.781829  -0.006662
0.794659  -0.006125
0.807478  -0.005597
0.820283  -0.005079
0.833075  -0.004575
0.845858  -0.004085
0.858638  -0.003612
0.871419  -0.003153
0.884201  -0.002711
0.896978  -0.002284
0.909745  -0.001875
0.922497  -0.001487
0.935234  -0.001122
0.947962  -0.000785
0.960684  -0.000475
0.973401  -0.000195
0.986111  0.000055
0.998805  0.000270
